order_date,year_number,quarter_number,month_number,month_name,year_month,is_complete_year,is_complete_month
2024-06-23,2024,2,6,June,2024-06,1,1
2024-06-25,2024,2,6,June,2024-06,1,1
2024-06-26,2024,2,6,June,2024-06,1,1
2024-07-01,2024,3,7,July,2024-07,1,1
2024-07-02,2024,3,7,July,2024-07,1,1
2024-07-04,2024,3,7,July,2024-07,1,1
2024-07-05,2024,3,7,July,2024-07,1,1
2024-07-07,2024,3,7,July,2024-07,1,1
2024-07-08,2024,3,7,July,2024-07,1,1
2024-07-09,2024,3,7,July,2024-07,1,1
2024-07-11,2024,3,7,July,2024-07,1,1
2024-07-13,2024,3,7,July,2024-07,1,1
2024-07-18,2024,3,7,July,2024-07,1,1
2024-07-27,2024,3,7,July,2024-07,1,1
2024-07-28,2024,3,7,July,2024-07,1,1
2024-07-30,2024,3,7,July,2024-07,1,1
2024-07-31,2024,3,7,July,2024-07,1,1
2024-08-01,2024,3,8,August,2024-08,1,1
2024-08-06,2024,3,8,August,2024-08,1,1
2024-08-07,2024,3,8,August,2024-08,1,1
2024-08-09,2024,3,8,August,2024-08,1,1
2024-08-21,2024,3,8,August,2024-08,1,1
2024-08-23,2024,3,8,August,2024-08,1,1
2024-08-29,2024,3,8,August,2024-08,1,1
2024-08-31,2024,3,8,August,2024-08,1,1
2024-09-01,2024,3,9,September,2024-09,1,1
2024-09-04,2024,3,9,September,2024-09,1,1
2024-09-06,2024,3,9,September,2024-09,1,1
2024-09-08,2024,3,9,September,2024-09,1,1
2024-09-13,2024,3,9,September,2024-09,1,1
2024-09-17,2024,3,9,September,2024-09,1,1
2024-09-19,2024,3,9,September,2024-09,1,1
2024-09-21,2024,3,9,September,2024-09,1,1
2024-09-24,2024,3,9,September,2024-09,1,1
2024-10-01,2024,4,10,October,2024-10,1,1
2024-10-05,2024,4,10,October,2024-10,1,1
2024-10-07,2024,4,10,October,2024-10,1,1
2024-10-08,2024,4,10,October,2024-10,1,1
2024-10-12,2024,4,10,October,2024-10,1,1
2024-10-15,2024,4,10,October,2024-10,1,1
2024-10-17,2024,4,10,October,2024-10,1,1
2024-10-21,2024,4,10,October,2024-10,1,1
2024-10-26,2024,4,10,October,2024-10,1,1
2024-10-31,2024,4,10,October,2024-10,1,1
2024-11-10,2024,4,11,November,2024-11,1,1
2024-11-14,2024,4,11,November,2024-11,1,1
2024-11-17,2024,4,11,November,2024-11,1,1
2024-11-21,2024,4,11,November,2024-11,1,1
2024-11-22,2024,4,11,November,2024-11,1,1
2024-11-24,2024,4,11,November,2024-11,1,1
2024-11-25,2024,4,11,November,2024-11,1,1
2024-11-27,2024,4,11,November,2024-11,1,1
2024-12-05,2024,4,12,December,2024-12,1,1
2024-12-06,2024,4,12,December,2024-12,1,1
2024-12-07,2024,4,12,December,2024-12,1,1
2024-12-09,2024,4,12,December,2024-12,1,1
2024-12-12,2024,4,12,December,2024-12,1,1
2024-12-14,2024,4,12,December,2024-12,1,1
2024-12-19,2024,4,12,December,2024-12,1,1
2024-12-26,2024,4,12,December,2024-12,1,1
2024-12-27,2024,4,12,December,2024-12,1,1
2024-12-28,2024,4,12,December,2024-12,1,1
2024-12-29,2024,4,12,December,2024-12,1,1
2024-12-30,2024,4,12,December,2024-12,1,1
2025-01-03,2025,1,1,January,2025-01,0,1
2025-01-06,2025,1,1,January,2025-01,0,1
2025-01-11,2025,1,1,January,2025-01,0,1
2025-01-14,2025,1,1,January,2025-01,0,1
2025-01-15,2025,1,1,January,2025-01,0,1
2025-01-25,2025,1,1,January,2025-01,0,1
2025-01-27,2025,1,1,January,2025-01,0,1
2025-01-29,2025,1,1,January,2025-01,0,1
2025-01-30,2025,1,1,January,2025-01,0,1
2025-02-01,2025,1,2,February,2025-02,0,1
2025-02-02,2025,1,2,February,2025-02,0,1
2025-02-04,2025,1,2,February,2025-02,0,1
2025-02-09,2025,1,2,February,2025-02,0,1
2025-02-11,2025,1,2,February,2025-02,0,1
2025-02-14,2025,1,2,February,2025-02,0,1
2025-02-16,2025,1,2,February,2025-02,0,1
2025-02-18,2025,1,2,February,2025-02,0,1
2025-02-19,2025,1,2,February,2025-02,0,1
2025-02-20,2025,1,2,February,2025-02,0,1
2025-02-24,2025,1,2,February,2025-02,0,1
2025-02-26,2025,1,2,February,2025-02,0,1
2025-02-27,2025,1,2,February,2025-02,0,1
2025-03-01,2025,1,3,March,2025-03,0,0
2025-03-07,2025,1,3,March,2025-03,0,0
2025-03-08,2025,1,3,March,2025-03,0,0
2025-03-10,2025,1,3,March,2025-03,0,0
2025-03-14,2025,1,3,March,2025-03,0,0
2025-03-15,2025,1,3,March,2025-03,0,0
